"Question ID","Category","Question","Vendor Response","Reviewer Notes"
"Q1","Company","Provide a brief company overview, including employee count, office footprint, and where customer data is hosted.","Relay Field Systems, Inc. is a Delaware C-corp providing B2B SaaS work-order dispatch and technician scheduling for mid-market trade contractors (HVAC, electrical, plumbing). The company has 85 employees with a hybrid model — Denver HQ and ~60% remote. Customer data is hosted on Microsoft Azure (East US 2 primary, Central US for DR), with production, staging, and dev in separate Azure subscriptions and VNets.",""
"Q2","Compliance","List all security certifications and attestations currently held (e.g., SOC 2, ISO 27001), including report dates and any noted exceptions.","SOC 2 Type II report issued February 2026, covering January through December 2025, with one exception noted (change-management evidence gap) which was remediated in Q3 2025. ISO 27001 is not held — certification is targeted for 2027. No HIPAA or PCI DSS scope.",""
"Q3","Encryption","Describe encryption of customer data at rest and in transit, including key management and rotation. Do you support customer-managed keys (CMK)?","Customer data at rest is encrypted with AES-256 via Azure Storage encryption and SQL TDE, with keys in Azure Key Vault and automatic annual rotation. Data in transit is protected with TLS 1.2 minimum (TLS 1.3 preferred) and HSTS on all public endpoints. Customer-managed keys (CMK/BYOK) are supported on the Enterprise tier via customer-held Azure Key Vault.",""
"Q4","Access Control","Is single sign-on with multi-factor authentication enforced for all employees and contractors? Name your identity provider.","Yes — SSO via Microsoft Entra ID with MFA enforced for all employees and contractors. FIDO2 security keys are required for administrative accounts.",""
"Q5","Access Control","Describe your access review cadence and the timeline for revoking access upon employee termination.","Access reviews are conducted quarterly, with privileged roles reviewed monthly. On termination, access is revoked within 8 business hours via Microsoft Entra lifecycle workflows.",""
"Q6","AppSec","Describe your penetration testing program: frequency, most recent test date, performing firm, and remediation of critical/high findings.","Penetration testing is performed annually. The most recent test was conducted in January 2026 by Kestrel Security. No critical findings were identified; one high-severity finding (SSRF in webhook handler) was remediated within 21 days and confirmed via retest.",""
"Q7","Logging","What is your log retention period? Can retention be extended beyond 12 months upon customer request?","Log retention is set at 13 months. Application and platform logs are sent to Azure Monitor with Microsoft Sentinel SIEM and analytics rules. Whether retention can be extended beyond 13 months per customer request is not documented — NEEDS OWNER INPUT: confirm whether extended retention is supported and the mechanism for enabling it.",""
"Q8","Incident Response","Do you maintain a documented incident response plan? What is your customer notification commitment following a confirmed breach?","Yes, a documented incident response plan v3.1 is maintained with a severity matrix and 24/7 on-call rotation. Affected customers are notified within 72 hours of a confirmed breach involving their data.",""
"Q9","BC/DR","Describe your backup strategy and RTO/RPO targets. Provide the date and results of your most recent disaster recovery test.","Backups use continuous geo-redundant replication plus nightly encrypted backups. Target RTO is 12 hours and target RPO is 1 hour. The most recent disaster recovery failover test was conducted on March 19, 2026 and passed — production was restored in Central US in 9 hours and 40 minutes. Restore tests are performed quarterly.",""
"Q10","HR Security","Do you perform background checks on new hires? Identify the screening vendor and the scope of checks performed.","Background checks are performed on all new hires via Sterling, covering criminal, identity, and employment verification (US).",""
"Q11","Endpoint","Describe endpoint protections on employee devices (MDM, disk encryption, EDR).","Endpoint protections include Microsoft Intune MDM on all devices, full-disk encryption (BitLocker on Windows, FileVault on macOS), and Microsoft Defender for Endpoint (EDR) deployed fleet-wide.",""
"Q12","Vendors","Provide a current list of subprocessors with access to customer data. Is a Data Processing Agreement available?","Subprocessors with access to customer data: Microsoft Azure (hosting), Stripe (billing), Twilio (SMS dispatch notifications), HubSpot (CRM/support), and Google Workspace (email/docs). A Data Processing Agreement with GDPR Standard Contractual Clauses is available on request.",""
"Q13","Privacy","Have you appointed a Data Protection Officer? Describe your GDPR and CCPA compliance measures.","A DPA with GDPR Standard Contractual Clauses is available on request. CCPA requests can be submitted to privacy@relayfield.example. A dedicated Data Protection Officer has not been appointed — NEEDS OWNER INPUT: confirm whether a DPO has been appointed or if this responsibility is assigned to another role.",""
"Q14","Legal","State your cyber liability insurance carrier and per-incident coverage amount.","NEEDS OWNER INPUT — Cyber liability insurance details (carrier and per-incident coverage amount) are not stored in the Trust Corpus. No draft available.",""
"Q15","Legal","Will you agree to indemnify the customer for losses arising from a breach of your systems? Describe your standard contractual terms.","NEEDS OWNER INPUT — Indemnification terms for breach of systems are not stored in the Trust Corpus (legal/contractual domain). No draft available.",""
